true_pos,obs_pos,true_var
336,318,15
336,318,15
336,318,15
336,318,15
336,318,15
336,318,15
336,318,15
336,318,15
336,318,15
336,318,15
336,318,15
336,318,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,322,15
336,337,15
336,337,15
336,337,15
336,337,15
336,337,15
336,337,15
336,337,15
336,317,15
336,317,15
336,317,15
336,317,15
336,317,15
336,317,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,313,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,343,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
336,305,15
291,299,15
291,299,15
291,299,15
291,299,15
291,299,15
291,299,15
291,299,15
291,299,15
291,289,15
291,289,15
291,289,15
291,289,15
291,289,15
291,289,15
291,289,15
291,289,15
291,289,15
291,289,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,273,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,294,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,291,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,283,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,293,15
291,278,15
291,278,15
291,278,15
291,278,15
291,278,15
291,278,15
291,278,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,320,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
291,267,15
