true_pos,obs_pos,true_var
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 22,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20, 32,15
 20,  4,15
 20,  4,15
 20,  4,15
 20,  4,15
 20,  4,15
 20,  4,15
 20,  4,15
 20,  4,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 17,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 38,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 45,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 20,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 42,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20,  7,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20, 18,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,354,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20,  8,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 11,15
 20, 41,15
 20, 41,15
 20, 41,15
 20, 41,15
 20, 41,15
 20, 41,15
 20, 41,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 23,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 51,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 27,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
 20, 25,15
